round,candidate,candidate_op,pipeline,n_augmentations,mean_macro_f1,std_macro_f1,scores,gain,selected,decision
0,(baseline),(baseline),,0,0.28,0.07,0.27|0.35|0.21,0.0,0,baseline
1,dilation,dilation,dilation,1,0.33,0.05,0.27|0.34|0.38,0.05,1,selected
1,affine,affine,affine,1,0.3,0.01,0.29|0.31|0.29,0.02,0,candidate
1,noise,noise,noise,1,0.29,0.02,0.26|0.31|0.29,0.01,0,candidate
1,erase,erase,erase,1,0.31,0.08,0.36|0.34|0.22,0.03,0,candidate
1,sharpen,sharpen,sharpen,1,0.32,0.02,0.30|0.34|0.33,0.05,0,candidate
2,affine,affine,dilation|affine,2,0.29,0.04,0.24|0.30|0.33,-0.04,0,stop_not_enough_gain
2,noise,noise,dilation|noise,2,0.29,0.05,0.26|0.26|0.34,-0.04,0,candidate
2,erase,erase,dilation|erase,2,0.29,0.02,0.27|0.31|0.29,-0.04,0,candidate
2,sharpen,sharpen,dilation|sharpen,2,0.25,0.02,0.27|0.26|0.24,-0.07,0,candidate
