seed,class_name,original_idx,path,relpath
42,Center,1376,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\train\Center\idx_587820__lot_lot36674__wafer_23.0.png,Center\idx_587820__lot_lot36674__wafer_23.0.png
42,Center,1038,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\train\Center\idx_574040__lot_lot35922__wafer_19.0.png,Center\idx_574040__lot_lot35922__wafer_19.0.png
42,Center,920,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\train\Center\idx_529789__lot_lot33166__wafer_23.0.png,Center\idx_529789__lot_lot33166__wafer_23.0.png
42,Center,1806,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\train\Center\idx_590549__lot_lot36869__wafer_6.0.png,Center\idx_590549__lot_lot36869__wafer_6.0.png
42,Center,2188,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\train\Center\idx_628076__lot_lot39480__wafer_15.0.png,Center\idx_628076__lot_lot39480__wafer_15.0.png
42,Center,2958,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\train\Center\idx_784659__lot_lot46454__wafer_17.0.png,Center\idx_784659__lot_lot46454__wafer_17.0.png
42,Center,1053,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\train\Center\idx_574208__lot_lot35934__wafer_2.0.png,Center\idx_574208__lot_lot35934__wafer_2.0.png
42,Center,2220,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\train\Center\idx_628276__lot_lot39512__wafer_22.0.png,Center\idx_628276__lot_lot39512__wafer_22.0.png
42,Center,625,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\train\Center\idx_371589__lot_lot22193__wafer_24.0.png,Center\idx_371589__lot_lot22193__wafer_24.0.png
42,Center,1063,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\train\Center\idx_574282__lot_lot35937__wafer_13.0.png,Center\idx_574282__lot_lot35937__wafer_13.0.png
42,Center,2494,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\train\Center\idx_681138__lot_lot42256__wafer_12.0.png,Center\idx_681138__lot_lot42256__wafer_12.0.png
42,Center,1470,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\train\Center\idx_588355__lot_lot36713__wafer_13.0.png,Center\idx_588355__lot_lot36713__wafer_13.0.png
42,Center,2279,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\train\Center\idx_629060__lot_lot39567__wafer_19.0.png,Center\idx_629060__lot_lot39567__wafer_19.0.png
42,Center,2849,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\train\Center\idx_764539__lot_lot45632__wafer_18.0.png,Center\idx_764539__lot_lot45632__wafer_18.0.png
42,Center,1722,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\train\Center\idx_590095__lot_lot36830__wafer_8.0.png,Center\idx_590095__lot_lot36830__wafer_8.0.png
42,Center,191,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\train\Center\idx_159535__lot_lot10280__wafer_7.0.png,Center\idx_159535__lot_lot10280__wafer_7.0.png
42,Center,859,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\train\Center\idx_526640__lot_lot32948__wafer_6.0.png,Center\idx_526640__lot_lot32948__wafer_6.0.png
42,Center,2091,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\train\Center\idx_592588__lot_lot37034__wafer_20.0.png,Center\idx_592588__lot_lot37034__wafer_20.0.png
42,Center,2925,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\train\Center\idx_771115__lot_lot45899__wafer_8.0.png,Center\idx_771115__lot_lot45899__wafer_8.0.png
42,Center,841,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\train\Center\idx_525976__lot_lot32896__wafer_18.0.png,Center\idx_525976__lot_lot32896__wafer_18.0.png
42,Center,405,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\train\Center\idx_255140__lot_lot15795__wafer_8.0.png,Center\idx_255140__lot_lot15795__wafer_8.0.png
42,Center,724,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\train\Center\idx_394951__lot_lot23658__wafer_1.0.png,Center\idx_394951__lot_lot23658__wafer_1.0.png
42,Center,1060,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\train\Center\idx_574275__lot_lot35937__wafer_6.0.png,Center\idx_574275__lot_lot35937__wafer_6.0.png
42,Center,1103,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\train\Center\idx_574569__lot_lot35960__wafer_21.0.png,Center\idx_574569__lot_lot35960__wafer_21.0.png
