copied_path,copied_file,folder_from_path,file_key,true_folder,final_pred,stage1_pred,stage2_pred,stage1_prob_defect,correct_1or0
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\Center\idx_201419__lot_lot12847__wafer_20.0.png,idx_201419__lot_lot12847__wafer_20.0.png,Center,idx_201419__lot_lot12847__wafer_20.0.png,Center,Center,Defect,Center,1.0,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\Donut\idx_674144__lot_lot41974__wafer_24.0.png,idx_674144__lot_lot41974__wafer_24.0.png,Donut,idx_674144__lot_lot41974__wafer_24.0.png,Donut,Donut,Defect,Donut,1.0,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\Edge-loc\idx_685541__lot_lot42434__wafer_14.0.png,idx_685541__lot_lot42434__wafer_14.0.png,Edge-loc,idx_685541__lot_lot42434__wafer_14.0.png,Edge-loc,Scratch,Defect,Scratch,0.597136,0
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\Edge-loc\idx_727015__lot_lot44112__wafer_8.0.png,idx_727015__lot_lot44112__wafer_8.0.png,Edge-loc,idx_727015__lot_lot44112__wafer_8.0.png,Edge-loc,Edge-loc,Defect,Edge-loc,0.94034266,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\Edge-ring\idx_021340__lot_lot2516__wafer_16.0.png,idx_021340__lot_lot2516__wafer_16.0.png,Edge-ring,idx_021340__lot_lot2516__wafer_16.0.png,Edge-ring,Edge-ring,Defect,Edge-ring,0.99999285,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\Edge-ring\idx_141276__lot_lot9150__wafer_4.0.png,idx_141276__lot_lot9150__wafer_4.0.png,Edge-ring,idx_141276__lot_lot9150__wafer_4.0.png,Edge-ring,Edge-ring,Defect,Edge-ring,0.9994161,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\Edge-ring\idx_225747__lot_lot14206__wafer_10.0.png,idx_225747__lot_lot14206__wafer_10.0.png,Edge-ring,idx_225747__lot_lot14206__wafer_10.0.png,Edge-ring,Edge-ring,Defect,Edge-ring,0.99999964,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\Edge-ring\idx_294480__lot_lot18023__wafer_10.0.png,idx_294480__lot_lot18023__wafer_10.0.png,Edge-ring,idx_294480__lot_lot18023__wafer_10.0.png,Edge-ring,Edge-ring,Defect,Edge-ring,0.99992716,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\Edge-ring\idx_328673__lot_lot19814__wafer_25.0.png,idx_328673__lot_lot19814__wafer_25.0.png,Edge-ring,idx_328673__lot_lot19814__wafer_25.0.png,Edge-ring,Edge-ring,Defect,Edge-ring,0.9999974,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\Loc\idx_643165__lot_lot40469__wafer_6.0.png,idx_643165__lot_lot40469__wafer_6.0.png,Loc,idx_643165__lot_lot40469__wafer_6.0.png,Loc,Loc,Defect,Loc,0.9932279,1
