round,candidate,pipeline,acc_mean,acc_std,loss_mean,loss_std,gain,selected,elapsed_sec
0,(baseline),,0.713875,0.10669520695654515,0.7229427684713154,0.09113883156371391,0.0,0,148.57421684265137
1,dilation,dilation,0.7253749999999999,0.07479607693589281,0.7821765776437242,0.10987344854225532,0.011499999999999844,0,160.11497378349304
1,affine,affine,0.70875,0.07941681969205261,0.7784631375093013,0.038673637799306625,-0.005125000000000046,0,149.44384837150574
1,noise,noise,0.7108749999999999,0.10490006404907481,0.6932098096737171,0.10388398079960548,-0.0030000000000001137,0,141.36911988258362
1,erase,erase,0.701125,0.058268304527418664,0.811930039220839,0.049293218879676526,-0.012750000000000039,0,127.0521297454834
1,sharpen,sharpen,0.7641249999999999,0.04916410657176636,0.7139007707587444,0.06493997819666536,0.050249999999999906,1,127.45036625862122
2,dilation,sharpen|dilation,0.6686249999999999,0.12630135094289371,0.8064359047040343,0.10522328957513692,-0.09550000000000003,0,134.77178239822388
2,affine,sharpen|affine,0.7250000000000001,0.11690340563901463,0.8095379952909424,0.1685546976579384,-0.039124999999999854,0,128.30196738243103
2,noise,sharpen|noise,0.765125,0.08863923545755568,0.6924918953329324,0.1297729915444039,0.001000000000000112,0,138.38376307487488
2,erase,sharpen|erase,0.721,0.13176431966773103,0.7595183313653107,0.13704182345708027,-0.04312499999999997,0,129.65865969657898
final,(final),sharpen,0.7555416666666666,0.07998251296972597,0.734992056973201,0.09381236648784669,,1,381.4628732204437
