round,candidate_op,pipeline,mean_macro_f1,std_macro_f1,scores,selected
0,baseline,,0.20716035575757197,0.10883876503697965,0.3255|0.1114|0.1846,True
1,dilation,dilation,0.27651215029977394,0.10759485103901732,0.3576|0.3175|0.1545,True
1,erosion,erosion,0.23872784015126913,0.0848021628108213,0.3347|0.1737|0.2078,False
1,sharpen,sharpen,0.2555338237059201,0.15624975451954248,0.1789|0.1524|0.4353,False
1,noise,noise,0.11588586764884183,0.029934950696376188,0.1445|0.0848|0.1185,False
1,erase,erase,0.1355210640440815,0.10432914989230171,0.2559|0.0796|0.0711,False
2,erosion,dilation|erosion,0.24289559848860373,0.15490035883807998,0.3714|0.0709|0.2863,False
2,sharpen,dilation|sharpen,0.2966369871002417,0.08441999616548669,0.3753|0.3071|0.2075,False
2,noise,dilation|noise,0.2048035044149251,0.14277441159851287,0.3679|0.1026|0.1439,False
2,erase,dilation|erase,0.32262682342772886,0.20080381931049512,0.4196|0.0917|0.4565,True
3,erosion,dilation|erase|erosion,0.22140980953760403,0.07692155434749387,0.2918|0.1393|0.2331,False
3,sharpen,dilation|erase|sharpen,0.3262056945516076,0.05584999042524648,0.3572|0.2617|0.3596,True
3,noise,dilation|erase|noise,0.26504967239011823,0.053885748128798074,0.3227|0.2160|0.2564,False
