path,relpath,true_folder,stage1_prob_defect,stage1_pred,stage2_pred,final_pred,correct_1or0,copied_path
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\Center\idx_201419__lot_lot12847__wafer_20.0.png,Center\idx_201419__lot_lot12847__wafer_20.0.png,Center,0.9999994039535522,Defect,Center,Center,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\Center\idx_201419__lot_lot12847__wafer_20.0__idx000.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\Donut\idx_674144__lot_lot41974__wafer_24.0.png,Donut\idx_674144__lot_lot41974__wafer_24.0.png,Donut,1.0,Defect,Donut,Donut,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\Donut\idx_674144__lot_lot41974__wafer_24.0__idx001.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\Edge-loc\idx_727015__lot_lot44112__wafer_8.0.png,Edge-loc\idx_727015__lot_lot44112__wafer_8.0.png,Edge-loc,0.8600748181343079,Defect,Edge-loc,Edge-loc,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\Edge-loc\idx_727015__lot_lot44112__wafer_8.0__idx002.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\Edge-ring\idx_225747__lot_lot14206__wafer_10.0.png,Edge-ring\idx_225747__lot_lot14206__wafer_10.0.png,Edge-ring,0.9999998807907104,Defect,Edge-ring,Edge-ring,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\Edge-ring\idx_225747__lot_lot14206__wafer_10.0__idx003.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\Loc\idx_643165__lot_lot40469__wafer_6.0.png,Loc\idx_643165__lot_lot40469__wafer_6.0.png,Loc,0.9953430891036987,Defect,Loc,Loc,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\Loc\idx_643165__lot_lot40469__wafer_6.0__idx004.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\Near-Full\idx_763251__lot_lot45579__wafer_25.0.png,Near-Full\idx_763251__lot_lot45579__wafer_25.0.png,Near-Full,1.0,Defect,Random,Random,0,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\Near-Full\idx_763251__lot_lot45579__wafer_25.0__idx005.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_641040__lot_lot40383__wafer_11.0.png,None\idx_641040__lot_lot40383__wafer_11.0.png,None,0.0005833374452777207,None,Edge-loc,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_641040__lot_lot40383__wafer_11.0__idx006.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\Random\idx_642396__lot_lot40438__wafer_12.0.png,Random\idx_642396__lot_lot40438__wafer_12.0.png,Random,0.9999963045120239,Defect,Random,Random,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\Random\idx_642396__lot_lot40438__wafer_12.0__idx007.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\Scratch\idx_285651__lot_lot17441__wafer_3.0.png,Scratch\idx_285651__lot_lot17441__wafer_3.0.png,Scratch,0.9985107779502869,Defect,Scratch,Scratch,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\Scratch\idx_285651__lot_lot17441__wafer_3.0__idx008.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_687485__lot_lot42516__wafer_6.0.png,None\idx_687485__lot_lot42516__wafer_6.0.png,None,1.2310693819017615e-05,None,Center,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_687485__lot_lot42516__wafer_6.0__idx009.png
